Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Sørbymagle"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495108.xml"	1419	1249	15	2	1266	361	24	34	26	109	9	332	243	72	39	0
"Korsør Søndre Bydel"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495109.xml"	5840	4904	44	12	4960	1609	91	130	148	284	17	1395	745	324	157	4
"Korsør Nordre Bydel"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495110.xml"	5523	4273	32	24	4329	1427	80	91	168	238	11	1228	533	388	109	0
"Tårnborg"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495111.xml"	1914	1695	12	2	1709	512	34	40	49	89	7	549	277	106	30	2
"Vemmelev"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495112.xml"	2559	2223	19	2	2244	520	41	51	63	155	4	740	523	88	38	0
"Søndermark"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495113.xml"	4792	3906	38	8	3952	1091	182	89	137	218	26	1031	739	276	113	4
"Rude"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495114.xml"	1329	1157	7	3	1167	267	25	22	55	67	3	343	227	84	64	0
"Skælskør Vest"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495115.xml"	2899	2390	19	6	2415	663	75	48	75	90	8	640	511	185	95	0
"Agersø"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495116.xml"	153	135	0	0	135	37	2	1	1	6	1	41	36	5	5	0
"Boeslunde"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495117.xml"	1064	914	6	1	921	175	18	14	39	54	2	332	217	38	25	0
"Eggeslevmagle Forsamlingshus"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495118.xml"	463	405	0	1	406	100	10	8	8	33	1	122	83	21	19	0
"Skælskør Øst"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495119.xml"	2157	1783	16	3	1802	476	37	47	61	73	4	517	387	138	43	0
"Magleby Forsamlingshus"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495120.xml"	387	337	5	1	343	78	12	3	10	14	0	107	71	31	11	0
"Omø"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495121.xml"	141	125	0	0	125	43	0	1	5	2	0	37	15	18	4	0
"Tjæreby Forsamlingshus"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495122.xml"	585	514	9	0	523	99	15	12	32	34	3	163	109	28	19	0
"Slagelse Hallen"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495123.xml"	5364	3982	57	14	4053	963	147	97	141	364	24	999	746	328	169	4
"Antvorskov"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495124.xml"	4127	3378	35	10	3423	948	143	112	102	217	13	842	690	215	95	1
"Vesthallen"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495125.xml"	4875	4184	32	4	4220	1177	131	90	106	303	8	1139	898	218	112	2
"Nordhallen"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495126.xml"	5863	4485	37	23	4545	1253	194	111	169	294	14	1161	823	360	106	0
"Vestermose"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495127.xml"	1051	933	7	1	941	179	29	23	21	91	5	276	229	45	34	1
"Stillinge"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495128.xml"	2013	1744	22	1	1767	424	42	29	38	103	9	534	435	78	52	0
"Havrebjerg Heldagsskole"	"12. Slagelse"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495129.xml"	447	390	6	1	397	90	6	12	13	16	4	116	100	22	11	0
"Hårlevhallen"	"5. Faxe"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494981.xml"	4288	3672	25	18	3715	882	71	103	152	194	16	1066	826	244	118	0
"Strøbyhallen"	"5. Faxe"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494982.xml"	5182	4581	24	13	4618	1088	146	140	194	366	17	1236	1025	202	164	3
"Stevnshallen"	"5. Faxe"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494983.xml"	4493	3800	34	15	3849	994	92	171	159	181	12	1110	679	271	129	2
"Harmonien"	"5. Faxe"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494984.xml"	2927	2561	27	6	2594	667	56	112	96	138	7	732	482	161	108	2
"Dianalund"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495098.xml"	4406	3632	20	10	3662	922	65	142	135	162	45	1196	647	222	96	0
"Ruds Vedby"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495099.xml"	1522	1241	17	5	1263	316	17	38	41	62	14	446	173	100	33	1
"Alsted Fjenneslev"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495100.xml"	1429	1244	10	3	1257	314	36	31	36	78	3	383	271	60	31	1
"Sorø"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495101.xml"	4055	3474	38	10	3522	960	171	203	153	228	21	637	659	248	189	5
"Frederiksberg"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495102.xml"	3504	3159	25	4	3188	844	193	114	180	185	12	519	645	246	221	0
"Pedersborg"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495103.xml"	2950	2513	14	4	2531	585	87	127	108	150	7	629	586	159	72	3
"Stenlille"	"11. Ringsted"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495104.xml"	4261	3581	43	9	3633	895	75	111	139	208	17	1116	660	228	132	0
"Hyllinge-Lyndby"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495001.xml"	2937	2588	20	5	2613	574	66	64	129	190	6	645	659	157	98	0
"Rye"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495002.xml"	1946	1710	15	8	1733	434	67	43	83	102	5	434	399	85	58	0
"Sæby-Gershøj"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495003.xml"	1251	1122	8	2	1132	252	38	25	76	77	3	278	251	71	51	0
"Sonnerup"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495004.xml"	1127	1009	10	2	1021	241	37	29	41	55	6	262	232	68	38	0
"Glim"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495005.xml"	951	825	11	1	837	175	25	28	45	79	1	158	206	60	44	4
"Hvalsø"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495006.xml"	3275	2921	20	12	2953	805	169	91	236	181	9	494	509	269	157	1
"Kr.Såby"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495007.xml"	2199	1966	17	4	1987	448	56	55	133	139	5	536	391	125	77	1
"Gevninge"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495008.xml"	2125	1940	25	15	1980	444	78	63	101	170	4	409	482	104	85	0
"Lejre"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495009.xml"	1910	1771	12	2	1785	386	150	71	126	168	3	175	438	118	136	0
"Osted"	"6. Køge"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495010.xml"	2315	2063	13	6	2082	508	101	35	100	121	27	479	484	110	95	3
"Errindlev"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494895.xml"	640	557	7	1	565	161	16	17	17	18	3	161	121	31	11	1
"Holeby"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494896.xml"	2065	1661	10	5	1676	624	25	44	56	42	3	435	280	125	27	0
"Sandby"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494897.xml"	808	653	6	1	660	193	8	29	25	20	0	180	130	53	15	0
"Søllested"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494898.xml"	1731	1402	16	5	1423	438	13	73	44	53	6	399	226	118	30	2
"Maribo"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494899.xml"	5297	4366	40	12	4418	1585	71	159	168	143	16	970	879	278	96	1
"Askø"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494900.xml"	41	38	0	0	38	6	1	0	1	0	2	13	12	1	2	0
"Østofte"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494901.xml"	2722	2172	16	4	2192	617	23	71	69	73	8	620	437	186	68	0
"Nakskov Idrætscenter"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494902.xml"	6868	5355	44	49	5448	2292	60	174	283	123	12	1327	560	397	120	7
"Nakskov Stormarkskolen"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494903.xml"	4309	3525	36	9	3570	1371	50	144	158	90	7	901	474	245	84	1
"Birket"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494904.xml"	434	350	0	3	353	133	6	1	11	9	1	76	77	29	7	0
"Fejø"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494905.xml"	362	326	4	0	330	84	7	12	12	11	2	75	64	32	27	0
"Femø"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494906.xml"	110	102	1	0	103	17	1	8	7	3	0	19	32	10	5	0
"Horslunde"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494907.xml"	1833	1435	13	10	1458	461	23	42	60	42	4	392	247	115	49	0
"Dannemare"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494908.xml"	2283	1839	14	1	1854	576	14	63	55	71	4	520	355	140	40	1
"Rødby"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494909.xml"	2983	2418	10	4	2432	771	34	75	93	78	10	633	481	194	49	0
"Rødbyhavn"	"1. Lolland"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494910.xml"	1349	969	7	4	980	350	13	23	52	26	2	303	119	65	16	0
"Fuglebjerg Hallen"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494948.xml"	3407	2849	29	4	2882	698	63	72	106	162	14	890	542	197	102	3
"Everdrup"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494949.xml"	819	686	7	4	697	181	9	19	15	36	2	181	180	35	27	1
"Grønbro-Hallen"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494950.xml"	1595	1320	17	7	1344	294	25	33	43	86	3	461	246	91	37	1
"Næstelsø - Mogenstrup"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494951.xml"	1888	1699	10	3	1712	506	36	57	41	123	7	367	454	71	37	0
"Tybjerg"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494952.xml"	733	655	8	1	664	170	19	8	21	47	1	176	150	39	24	0
"Snesere"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494953.xml"	1965	1676	18	4	1698	482	39	37	48	97	8	466	353	80	66	0
"Hammer - Vester Egesborg"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494954.xml"	1271	1089	16	2	1107	301	17	26	26	65	10	266	273	56	48	1
"Fensmark"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494955.xml"	3668	3236	23	5	3264	1112	48	121	85	214	15	846	541	174	80	0
"Holme-Olstrup"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494956.xml"	1090	990	7	4	1001	321	12	54	27	69	4	286	147	43	27	0
"Toksværd"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494957.xml"	1281	1106	5	0	1111	285	18	34	38	62	1	328	218	76	46	0
"Glumsø"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494958.xml"	2415	2151	24	3	2178	709	39	43	94	132	8	497	378	156	95	0
"Sandby"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494959.xml"	420	364	5	0	369	67	15	12	8	29	1	115	79	27	11	0
"Skelby"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494960.xml"	521	444	3	1	448	104	11	9	9	28	1	142	103	22	15	0
"Herlufmagle"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494961.xml"	2457	2117	20	5	2142	659	48	59	66	112	8	614	405	113	33	0
"Ll. Næstved Skole-Karrebækvej"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494962.xml"	3635	3117	23	12	3152	1108	75	95	105	237	14	647	581	174	79	2
"Grønnegades Kaserne"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494963.xml"	3079	2415	26	11	2452	739	70	74	83	250	10	525	378	201	84	1
"Kildemarkskolen"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494964.xml"	4327	3408	35	14	3457	1259	86	79	141	197	13	788	414	308	121	2
"Næstved Hallerne"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494965.xml"	4637	3902	32	10	3944	1444	109	128	146	287	19	814	573	271	110	1
"Sct. Jørgens Skole"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494966.xml"	5050	4291	24	10	4325	1657	87	134	136	233	20	986	642	262	132	2
"Kalbyrisskolen"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494967.xml"	2741	2300	15	11	2326	882	67	55	89	124	7	541	303	178	53	1
"Ll Næstved Skole-Herlufsholmve"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494968.xml"	2661	2363	15	1	2379	784	75	96	74	214	10	433	472	119	85	1
"Herlufsholmhallen"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494969.xml"	4352	3613	32	12	3657	1206	80	132	84	278	23	819	746	157	87	1
"Sydbyskolen"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494970.xml"	3688	2943	29	13	2985	1125	66	48	108	151	18	785	361	223	56	2
"Rønnebæk"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494971.xml"	655	592	0	0	592	213	10	14	16	26	3	145	114	36	15	0
"Hyllinge"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494972.xml"	1482	1266	5	2	1273	337	24	34	29	78	7	341	284	86	46	0
"Karrebæk"	"4. Næstved"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494973.xml"	2047	1843	12	5	1860	587	27	53	52	101	8	455	420	83	57	0
"Byen"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494911.xml"	3725	2794	22	19	2835	876	80	67	112	142	15	727	417	258	96	4
"Østerbro"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494912.xml"	3201	2600	38	6	2644	887	44	56	101	134	21	691	332	247	87	0
"Lindeskov"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494913.xml"	2874	2349	24	6	2379	878	46	67	76	74	17	599	375	173	43	1
"Ejegod"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494914.xml"	3398	2813	19	12	2844	987	59	57	103	122	20	724	447	214	78	2
"Kraghave"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494915.xml"	2096	1849	19	9	1877	616	65	28	73	97	8	476	340	95	51	0
"Toreby"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494916.xml"	1505	1271	8	1	1280	357	28	25	51	41	7	424	206	99	32	1
"Sundby"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494917.xml"	2665	2348	17	4	2369	816	60	63	72	94	14	628	399	136	63	3
"Nysted"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494918.xml"	2446	2053	12	9	2074	672	36	45	53	78	16	605	362	120	64	2
"Øster Ulslev"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494919.xml"	1405	1177	7	5	1189	308	23	26	26	46	1	349	264	95	39	0
"Nørre Alslev"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494920.xml"	2513	2081	23	9	2113	661	33	59	71	63	8	610	374	159	43	0
"Nørre Vedby"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494921.xml"	1808	1502	14	12	1528	454	25	34	64	62	2	435	261	123	42	0
"Eskilstrup"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494922.xml"	2109	1797	18	9	1824	561	42	41	53	55	7	567	297	120	53	1
"Sakskøbing"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494923.xml"	4598	3683	44	15	3742	1303	52	103	133	98	10	972	686	250	76	0
"Majbølle"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494924.xml"	1328	1121	6	2	1129	318	16	29	28	38	2	412	185	71	22	0
"Våbensted"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494925.xml"	947	771	5	5	781	210	10	22	29	28	4	219	177	48	24	0
"Stubbekøbing"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494926.xml"	3056	2537	26	9	2572	765	51	47	97	74	19	751	417	239	77	0
"Horreby"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494927.xml"	2487	2095	18	4	2117	576	44	32	63	75	6	687	355	158	99	0
"Idestrup"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494928.xml"	1577	1364	15	5	1384	402	21	27	27	53	4	475	269	61	25	0
"Væggerløse"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494929.xml"	2778	2485	12	10	2507	733	36	83	56	95	4	822	496	106	53	1
"Gedser"	"2. Guldborgsund"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494930.xml"	1177	960	7	1	968	277	20	22	31	32	5	361	101	81	30	0
"Vordingborg"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494931.xml"	4326	3515	32	14	3561	1064	101	109	157	183	11	855	578	284	169	4
"Masnedsund"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494932.xml"	3245	2752	17	8	2777	973	71	51	127	99	4	622	394	255	154	2
"Nyråd"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494933.xml"	2258	1997	14	4	2015	574	70	67	89	153	6	413	403	124	97	1
"Kastrup"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494934.xml"	2076	1774	14	4	1792	559	33	52	57	77	5	495	299	143	54	0
"Bårse"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494935.xml"	930	791	8	0	799	180	17	27	22	37	1	231	207	39	30	0
"Lundby"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494936.xml"	2950	2460	13	11	2484	584	43	71	90	143	8	751	468	192	110	0
"Ørslev"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494937.xml"	1598	1383	16	3	1402	441	25	29	33	56	8	413	271	83	21	3
"Stege"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494938.xml"	4441	3722	40	16	3778	1177	100	86	109	144	9	828	795	290	183	1
"Østmøn"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494939.xml"	1324	1113	9	8	1130	303	18	16	36	60	3	288	222	99	68	0
"Vestmøn"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494940.xml"	1815	1568	13	4	1585	435	46	25	53	77	9	306	311	181	125	0
"Bogø"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494941.xml"	881	788	3	2	793	258	17	13	29	25	2	174	143	73	53	1
"Præstø"	"3. Vordingborg"	"Sjællands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494942.xml"	3315	2799	26	15	2840	879	75	74	116	146	9	658	491	220	129	2
