Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Tinderhøj"	"4. Rødovre"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494737.xml"	4183	3471	32	7	3510	1225	98	100	194	173	18	835	395	299	130	4
"Islev"	"4. Rødovre"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494738.xml"	3954	3388	29	9	3426	1123	124	112	122	193	25	804	470	288	122	5
"Ishøj Landsby"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494752.xml"	1263	1116	8	2	1126	278	53	38	43	106	7	276	225	49	40	1
"Vibeholmskolen"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494753.xml"	2616	2232	9	9	2250	830	51	48	109	75	6	635	277	143	52	6
"Gildbroskolen"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494754.xml"	3530	2758	13	8	2779	931	64	39	198	92	6	837	265	239	77	10
"Strandgårdskolen"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494755.xml"	2585	1618	12	15	1645	625	47	15	177	49	2	341	115	188	51	8
"Ishøj Bycenter"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494756.xml"	3499	2875	25	15	2915	948	103	47	136	173	10	756	397	202	97	6
"Vestamager"	"12. Tårnby"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494695.xml"	4504	3926	19	15	3960	954	123	114	148	241	11	1357	588	268	116	6
"Pilegården"	"12. Tårnby"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494696.xml"	5119	4525	31	4	4560	1268	197	176	216	266	18	1201	746	322	111	4
"Tårnby"	"12. Tårnby"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494697.xml"	4836	4000	30	11	4041	1306	142	83	222	158	16	1146	443	350	127	7
"Korsvejen"	"12. Tårnby"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494698.xml"	4100	3357	31	13	3401	1036	132	75	178	188	17	823	446	307	152	3
"Løjtegården"	"12. Tårnby"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494699.xml"	3636	3143	20	15	3178	821	142	91	127	202	10	867	514	226	136	7
"Kastrup"	"12. Tårnby"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494700.xml"	8519	6968	49	27	7044	2176	209	143	309	349	18	2086	739	692	240	7
"Vallensbæk Skole, Multisalen"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494757.xml"	3315	2703	14	15	2732	645	127	177	153	275	13	622	452	162	76	1
"Egholmskolen"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494758.xml"	3120	2792	25	20	2837	809	99	223	87	268	8	623	496	117	60	2
"Pilehaveskolen"	"6. Brøndby"	"Københavns Omegns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494759.xml"	3906	3441	22	9	3472	947	121	233	120	275	5	798	686	171	75	10
"Værløse"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494855.xml"	7194	6341	43	20	6404	1661	571	401	247	699	23	892	1161	416	267	3
"Hareskov"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494856.xml"	2553	2391	12	5	2408	499	317	148	108	352	5	171	440	186	162	3
"Søndersø"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494857.xml"	3432	3191	22	9	3222	688	378	190	108	483	27	328	651	160	178	0
"Jonstrup"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494858.xml"	904	827	6	0	833	236	77	39	50	83	3	86	117	80	56	0
"Stavnsholt"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494859.xml"	4148	3812	27	9	3848	865	320	257	136	529	10	431	833	270	160	1
"Solvang"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494860.xml"	5542	5012	37	12	5061	1150	444	233	221	660	15	612	1049	340	287	1
"Paltholm"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494861.xml"	3616	2829	27	10	2866	824	126	66	148	220	10	495	407	350	180	3
"Blovstrød"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494871.xml"	1912	1781	10	4	1795	372	155	126	81	232	10	252	396	74	83	0
"Skovvang"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494872.xml"	3584	3161	28	10	3199	799	238	214	139	349	15	521	513	230	141	2
